district,Longitude,Latitude
Medak,78.2889,17.4887
Medak,78.2114,17.6104
Ranga Reddy,77.9705,17.4551
Mahbubnagar,77.7068,16.3842
Warangal,79.8676,18.3368
Khammam,80.62,17.8104
Khammam,80.8029,17.9486
Nalgonda,79.4034,16.8291
Warangal,80.0269,18.4761
Warangal,80.0445,18.4781
Ranga Reddy,78.3479,17.1588
Warangal,80.1603,18.1834
Khammam,81.1803,17.407
Warangal,80.2069,18.3405
Warangal,80.0361,18.1584
Warangal,79.9253,18.0189
Warangal,79.8547,18.3379
Nizamabad,77.8365,18.3575
Mahbubnagar,77.7805,16.3777
Khammam,80.9007,17.6318
Khammam,80.7273,18.2783
Medak,78.2848,17.488
Medak,78.0822,17.8744
Warangal,80.1457,18.2037
Warangal,79.8514,18.355
Warangal,79.8937,18.3145
Medak,77.5582,17.6622
Medak,77.5566,17.6528
Khammam,80.2748,17.6464
Khammam,80.8415,17.4997
Khammam,80.5154,17.7545
Khammam,81.0514,17.6608
Khammam,80.8628,17.2919
Khammam,80.6674,17.3527
Nizamabad,78.3939,18.1911
Khammam,80.7145,18.004
Khammam,80.8027,17.9512
Nalgonda,79.4108,16.8218
Nalgonda,79.4012,16.8232
Khammam,80.8232,17.171
Khammam,80.8139,17.1724
Khammam,80.8708,17.1616
Medak,78.2608,17.9485
Medak,78.0871,17.6687
Nizamabad,78.3557,18.396
Warangal,79.9216,18.3622
Karimnagar,78.9867,18.9581
Karimnagar,78.9985,18.9596
Khammam,80.5975,17.2435
Khammam,80.6052,17.2468
Khammam,80.8448,17.184
Khammam,80.8033,17.9511
Khammam,80.8592,17.1717
Khammam,80.8494,17.1702
Medak,78.0399,17.4662
Karimnagar,78.7773,18.7389
Karimnagar,78.7729,18.6972
Karimnagar,78.7655,18.737
Warangal,80.043,18.0257
Warangal,80.0534,18.0273
Warangal,79.9107,18.069
Khammam,80.8074,17.9495
Warangal,79.0362,17.908
Medak,78.2899,17.4889
Mahbubnagar,78.3591,16.7401
Medak,77.6185,17.6647
Ranga Reddy,77.496,17.2959
Ranga Reddy,77.7784,17.576
Nizamabad,78.4179,18.142
Warangal,79.0242,17.9003
Warangal,79.0346,17.8987
Medak,78.4182,18.059
Warangal,80.1834,18.3483
Khammam,80.8018,17.9516
Karimnagar,78.6877,18.8298
Nizamabad,78.1241,18.6507
Mahbubnagar,77.5159,16.4073
Nalgonda,79.0144,17.5251
Mahbubnagar,77.744,16.339
Karimnagar,79.0166,18.9415
Ranga Reddy,77.7985,17.2159
Mahbubnagar,77.7824,17.2178
Khammam,80.8168,17.9152
Khammam,81.091,17.5926
Khammam,81.1292,17.5463
Adilabad,79.3161,19.0155
Warangal,80.0564,18.0109
Adilabad,79.3057,19.0141
Nalgonda,79.8796,17.1185
Warangal,80.1113,17.9844
Ranga Reddy,77.798,17.207
Mahbubnagar,77.4695,16.7366
Mahbubnagar,78.1734,16.6808
Ranga Reddy,77.7873,17.2146
Mahbubnagar,77.778,17.2133
Ranga Reddy,77.7418,17.2266
Adilabad,78.565,19.2459
Karimnagar,78.7278,18.9558
Nizamabad,78.1842,18.3259
Warangal,79.0324,17.8949
Ranga Reddy,77.7904,17.2359
Ranga Reddy,77.795,17.2385
Khammam,80.9396,17.7713
Khammam,80.9303,17.77
Karimnagar,78.9443,18.9718
Nizamabad,78.2212,18.7205
Medak,77.8303,17.9463
Ranga Reddy,77.6215,17.4548
Khammam,80.5617,17.3782
Khammam,81.1206,17.4764
Khammam,81.1317,17.4781
Khammam,81.1758,17.3239
Khammam,81.1649,17.3222
Mahbubnagar,77.8844,16.2594
Khammam,80.7988,17.9531
Khammam,80.657,18.4251
Khammam,80.8067,17.9525
Nizamabad,78.4342,18.33
Ranga Reddy,78.3467,17.1615
Karimnagar,78.7973,18.982
Warangal,80.0309,18.1525
Warangal,80.0323,18.1419
Khammam,80.6525,18.4124
Khammam,80.6514,18.4236
Khammam,80.6421,18.4224
Mahbubnagar,78.3392,17.0292
Mahbubnagar,77.8188,16.1162
Ranga Reddy,77.864,17.2298
Medak,78.1076,17.9482
Mahbubnagar,77.7977,16.3541
Medak,77.6503,17.7507
Nalgonda,79.2364,17.4685
Warangal,79.7039,18.0962
Karimnagar,79.5907,18.5866
Karimnagar,79.5892,18.5955
Warangal,80.0394,18.0413
Warangal,79.5641,17.5061
Khammam,80.2312,17.737
Adilabad,78.6944,19.2506
Karimnagar,78.8524,18.6007
Karimnagar,78.7948,18.6016
Khammam,80.2816,17.7733
Khammam,80.2799,17.7826
Khammam,80.29,17.7841
Khammam,80.2916,17.7748
Karimnagar,78.893,18.6944
Karimnagar,79.0699,18.5687
Karimnagar,78.7354,18.6589
Karimnagar,78.7841,18.6971
Warangal,80.2227,18.0117
Khammam,80.3484,17.7454
Nizamabad,78.2024,18.3495
Nizamabad,78.201,18.3404
Warangal,80.2373,17.9343
Warangal,79.0396,17.7287
Medak,77.7705,17.6312
Medak,78.4147,18.0587
Khammam,80.6336,17.5607
Warangal,79.2812,17.6351
Warangal,79.2888,17.6317
Khammam,80.8016,17.9525
Ranga Reddy,78.5306,17.5473
Khammam,80.4106,18.6017
Warangal,79.802,18.3592
Khammam,80.3461,17.7447
Karimnagar,79.4881,18.6034
Karimnagar,79.4989,18.6017
Karimnagar,79.4829,18.5998
Warangal,79.9084,18.0825
Mahbubnagar,77.7723,17.2279
Mahbubnagar,77.7169,16.5985
Karimnagar,78.7323,18.6012
Karimnagar,78.7392,18.606
Warangal,80.5413,18.1964
Nizamabad,77.9969,18.559
Adilabad,78.7105,19.3333
Khammam,80.805,17.9547
Karimnagar,79.9979,18.7592
Warangal,80.105,17.8336
Warangal,80.1102,17.8344
Khammam,80.7998,17.9536
Khammam,80.8077,17.949
Khammam,80.5949,18.4147
Khammam,80.5895,18.4137
Khammam,80.8011,17.9517
Khammam,80.4788,18.6033
Warangal,80.0617,18.0099
Adilabad,79.3151,18.9848
Warangal,80.0778,17.8285
Warangal,80.0656,17.8367
Adilabad,79.3215,18.9804
Warangal,80.1355,18.0391
Warangal,80.1245,18.0377
Warangal,80.1659,17.9422
Karimnagar,78.8884,18.9942
Karimnagar,78.8288,18.6091
Warangal,80.1549,17.9408
Karimnagar,78.8982,18.9955
Adilabad,78.7306,19.2397
Adilabad,78.7207,19.2384
Adilabad,78.6799,19.268
Adilabad,78.67,19.2667
Adilabad,78.6361,19.2902
Adilabad,78.6715,19.323
Adilabad,78.5995,19.3318
Khammam,80.8082,17.9538
Khammam,80.8013,17.9479
Ranga Reddy,78.0439,17.3266
Khammam,80.798,17.9524
Khammam,80.8043,17.9519
Nalgonda,79.0322,17.6677
Warangal,79.0428,17.726
Medak,78.0496,17.9961
Warangal,79.0328,17.7244
Ranga Reddy,77.7319,17.5037
Ranga Reddy,77.7336,17.4939
Mahbubnagar,78.0392,17.1114
Mahbubnagar,78.052,17.1034
Warangal,79.9064,18.1588
Warangal,79.9158,18.1602
Nalgonda,79.6777,17.0279
Nalgonda,79.3281,17.2064
Warangal,80.0332,18.0482
Warangal,80.0629,18.0433
Khammam,80.6003,18.398
Khammam,80.5891,18.4331
Khammam,80.7988,17.9471
Khammam,80.6535,18.2855
Khammam,80.711,18.2846
Khammam,80.7204,18.2859
Khammam,80.8833,17.6275
Adilabad,78.7354,19.2191
Adilabad,78.8003,19.1174
Warangal,80.211,18.0192
Adilabad,78.5197,19.2968
Warangal,80.1648,17.985
Warangal,80.1742,17.9863
Karimnagar,78.8638,18.6854
Adilabad,78.6606,19.2616
Khammam,80.464,18.5992
Warangal,80.1863,17.9608
Khammam,80.4445,18.6091
Mahbubnagar,77.9345,16.1254
Medak,78.0996,17.6886
Medak,77.5438,17.6451
Medak,77.5543,17.6435
Medak,78.0954,17.692
Mahbubnagar,77.7963,16.3547
Mahbubnagar,77.8012,16.3512
Ranga Reddy,77.5431,17.3683
Medak,77.9654,17.5383
Ranga Reddy,77.5326,17.37
Medak,77.926,17.9439
Medak,77.9671,17.548
Khammam,80.2755,17.7946
Khammam,80.2813,17.7938
Ranga Reddy,77.906,17.4895
Ranga Reddy,77.924,17.496
Ranga Reddy,77.8978,17.4933
Adilabad,78.7246,19.3425
Warangal,80.2653,18.0158
Adilabad,78.7916,19.1352
Warangal,80.1168,18.0322
Warangal,80.1292,18.0343
Khammam,80.8003,17.9493
Warangal,80.0752,18.0165
Warangal,80.0814,18.0159
Warangal,80.0876,18.0185
Khammam,80.7952,17.9553
Ranga Reddy,77.9487,17.4718
Adilabad,79.6302,19.0825
Khammam,80.9454,17.6603
Karimnagar,78.8258,19.0092
Karimnagar,78.8243,19.0003
Warangal,80.1724,17.9281
Khammam,80.8046,17.9499
Khammam,81.1667,17.5429
Mahbubnagar,77.5167,16.4826
Mahbubnagar,77.9195,16.1386
Nalgonda,79.3799,16.888
Khammam,80.1437,17.2769
Ranga Reddy,77.9724,17.1271
Ranga Reddy,78.5297,17.5454
Ranga Reddy,78.5193,17.5379
Ranga Reddy,77.9709,17.1384
Medak,78.0258,17.4872
Warangal,80.1036,18.0054
Warangal,80.0058,18.0628
Warangal,79.9996,18.0705
Adilabad,78.5857,19.216
Khammam,80.599,18.4951
Khammam,80.6042,18.4918
Khammam,80.6057,18.485
Khammam,80.8,17.9574
Khammam,80.8014,17.9481
Warangal,80.2059,17.9801
Warangal,80.217,17.9879
Khammam,81.106,17.3997
Khammam,80.597,18.4862
Khammam,80.8058,17.9499
Khammam,80.7941,17.0857
Khammam,79.9744,17.1379
Mahbubnagar,77.8503,15.8938
Khammam,80.6208,18.492
Khammam,80.4208,17.666
Khammam,80.4068,17.6642
Khammam,80.4135,17.6693
Khammam,80.4395,18.583
Warangal,80.267,17.9909
Warangal,80.2241,17.9965
Nizamabad,78.5555,18.6093
Mahbubnagar,78.4789,16.0815
Adilabad,78.6909,19.228
Khammam,80.8071,17.9587
Khammam,80.5905,18.4774
Khammam,80.6223,18.4835
Khammam,80.6154,18.4796
Warangal,80.1444,17.8701
Adilabad,78.6574,19.231
Khammam,80.7248,17.2517
Khammam,80.6432,18.4734
Khammam,80.6417,18.4826
Nizamabad,78.0538,18.5852
Adilabad,78.729,19.2546
Adilabad,78.5496,19.0915
Adilabad,78.6958,19.2224
Warangal,80.2309,17.957
Karimnagar,78.8299,18.6801
Warangal,80.1748,18.1146
Warangal,80.1721,18.0414
Adilabad,78.7818,19.2257
Ranga Reddy,78.0773,17.3818
Ranga Reddy,77.6146,17.3405
Medak,77.9601,17.5393
Medak,77.9697,17.5408
Ranga Reddy,77.5439,17.3649
Ranga Reddy,77.5339,17.3634
Ranga Reddy,77.5239,17.3619
Mahbubnagar,77.7608,16.1446
Mahbubnagar,77.6663,16.6173
Mahbubnagar,77.6548,16.625
Medak,78.618,17.8392
Khammam,80.4735,18.551
Khammam,80.441,18.5653
Khammam,80.5529,18.5618
Khammam,80.4691,17.594
Khammam,80.7998,17.9527
Khammam,80.5435,18.4599
Khammam,80.5535,18.4613
Khammam,80.6089,18.4311
Khammam,80.3493,17.4216
Khammam,80.2332,17.5895
Khammam,80.5223,18.4664
Khammam,80.5627,18.5631
Khammam,80.5336,18.4586
Warangal,80.0582,18.0165
Warangal,80.0485,18.1065
Warangal,80.0815,18.0566
Warangal,80.0924,18.0489
Adilabad,78.3504,19.8545
Khammam,80.6144,18.4783
Khammam,80.6227,18.4679
Khammam,80.613,18.4693
Khammam,80.8072,17.9535
Adilabad,78.8392,19.3694
Khammam,80.5545,18.449
Khammam,80.6416,18.4725
Khammam,80.5598,18.4743
Khammam,80.622,18.476
Khammam,80.5481,18.4494
Warangal,80.098,18.0543
Warangal,80.1042,18.0565
Khammam,80.4276,17.6941
Khammam,80.4302,17.6503
Khammam,80.4403,17.6518
Khammam,80.2765,17.728
Khammam,80.2561,17.7248
Khammam,80.2663,17.7264
Adilabad,79.2158,19.0924
Adilabad,79.1953,19.0459
